id,module,use_case,prompt_title,prompt_text,expected_output_format,difficulty,customization_notes
P011,M2_Output_Control,study,Clean Table Output,"Create a table comparing 5 sorting algorithms for my exam revision. The table must have exactly these columns: Algorithm Name, Best Case, Worst Case, Average Case, Stable? (Yes/No), In-Place? (Yes/No). Include: Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort. No text before the table. No text after the table. Only the table.",table,easy,"Change the topic and column headers. Works for any comparison that fits a table format."
P012,M2_Output_Control,coding,JSON Student Project Formatter,"Convert the following project idea into a valid JSON object. Use these exact keys: project_name (string), description (string, max 2 sentences), tech_stack (array of strings), features (array of objects, each with keys: feature_name and priority where priority is high, medium, or low), estimated_days (number). Project idea: A campus lost-and-found web app where students can post items they lost or found, search by category, and get email notifications when a match is found. Built with React, Node.js, and MongoDB. Output only valid JSON. No markdown code fences. No explanation.",JSON,medium,"Replace with your own project idea. Add or remove JSON keys to match your documentation needs."
P013,M2_Output_Control,study,Word Count Enforcer,"Answer the following question in exactly 50 words. Not 49. Not 51. Exactly 50. Count carefully before submitting. If your answer is not exactly 50 words, revise it until it is. Question: What is cloud computing and why is it useful for startups?",paragraph,easy,"Replace the question. Change the word count to practice different length constraints."
P014,M2_Output_Control,study,Zero Fluff Strict Mode,"Answer the following question. Strict rules: 1. Do not start with any greeting or filler phrase. 2. Do not end with any offer to help further. 3. Do not use transition phrases. 4. Output exactly 3 bullet points. 5. Each bullet must be one sentence, max 15 words. 6. Start each bullet with a verb. Question: What are the benefits of using version control?",bullet points,easy,"Replace the question. Adjust the number of bullets and word limit per bullet."
P015,M2_Output_Control,study,Three Versions One Concept,"Explain the concept of API (Application Programming Interface) in 3 different versions. Version 1 â€” For a 10-year-old: Use an analogy. Max 2 sentences. Version 2 â€” For a college student: Technical but clear. Max 4 sentences. Version 3 â€” For a job interview: Professional, impressive, shows depth. Max 3 sentences. Label each version clearly. No text between versions.",multi-version text,medium,"Replace API with any concept. Adjust the audience for each version to match your needs."
P016,M2_Output_Control,coding,Numbered Steps Code Tutorial,"Write a step-by-step tutorial for setting up a Python virtual environment and installing packages. Rules: 1. Use exactly 6 numbered steps. 2. Each step must have: a one-line instruction, the exact terminal command in a code block, and a one-line explanation of what the command does. 3. No introductory paragraph. 4. No conclusion paragraph. 5. Start directly with Step 1.",step-by-step tutorial,medium,"Replace the task. Keep the 3-part structure per step (instruction, command, explanation)."
P017,M2_Output_Control,study,Markdown Section Controller,"Write a summary of the topic Machine Learning for my notes. Use this exact Markdown structure â€” no deviations: ## Definition (2 sentences), ## Types (bullet list of 3 types with one-line description each), ## Real-World Examples (numbered list of 3 examples), ## Key Takeaway (exactly 1 sentence). Do not add any sections beyond these four. Do not add introductory or closing text outside these sections.",markdown sections,easy,"Replace Machine Learning with any topic. Adjust section names and content rules."
P018,M2_Output_Control,coding,Code Plus Plain English,"Write a Python function that checks whether a given year is a leap year. Structure your output in exactly 2 parts: Part 1 â€” Code: The complete Python function with type hints. No comments inside the code. Part 2 â€” Explanation: Below the code, explain each line in plain English using a numbered list. Each numbered item must start with the line of code in backticks, followed by a dash and the explanation. No other text.",code + explanation,medium,"Replace the coding task. Keep the two-part structure to understand any code you generate."
P019,M2_Output_Control,study,One Sentence Answer Mode,"Answer each of the following 5 questions in exactly one sentence. Each sentence must be a complete, self-contained answer. Do not number them â€” just output 5 lines, one answer per line. No bullet points. No blank lines between answers. Questions: 1. What is an operating system? 2. What is a compiler? 3. What is RAM? 4. What is an IP address? 5. What is a firewall?",one-line answers,easy,"Replace the questions. Adjust the count. Great for rapid revision of definitions."
P020,M2_Output_Control,coding,Actionable Checklist Generator,"Create a pre-submission checklist for a college coding assignment. Format as a checklist using this exact pattern: [ ] [action item]. Rules: 1. Exactly 10 items. 2. Group into 3 sections: Code Quality (4 items), Testing (3 items), Submission (3 items). 3. Each item must start with a verb. 4. Each item must be one line, under 12 words. 5. No numbering â€” use only the [ ] checkbox format.",checklist,easy,"Change the task context. Adjust sections and item counts. Useful for any recurring process."
P021,M3_Debugging_Refinement,study,Spot the Prompt Failures,"Analyze the following prompt and identify every problem using the 5 common failure types: Too Vague, Missing Context, No Format Specified, Conflicting Constraints, Wrong Persona. For each type, mark [FOUND] or [NOT FOUND]. If [FOUND], quote the exact words causing the issue and write a one-sentence fix. After the analysis, rewrite the prompt with all issues fixed. Bad prompt: ""Explain everything about databases in a short but very detailed way and make it simple but also technical.""",diagnosis + rewrite,easy,"Replace the bad prompt with any prompt that gave you poor results."
P022,M3_Debugging_Refinement,study,3R Loop Practice Walkthrough,"Simulate a 3-round 3R Loop (Request, Review, Refine) for this task: getting AI to generate a study timetable for exam week. Round 1 â€” Request: Write a basic first-attempt prompt. Show the likely weak output (3-4 lines). Review: List 3 specific problems with the output. Round 2 â€” Refine: Write an improved prompt fixing those problems. Show better output. Review: List remaining issues. Round 3 â€” Refine: Write the final polished prompt and show the ideal output. Label each round clearly as Round 1, Round 2, Round 3.",3R simulation,medium,"Replace the task with anything you want to practice refining. Use this to build your 3R muscle."
P023,M3_Debugging_Refinement,coding,Self-Review Code Checklist,"Write a Python function that reverses a linked list iteratively. After writing the code, review your own output against this checklist: 1. Does the function handle an empty list? [PASS/FAIL], 2. Does it handle a single-node list? [PASS/FAIL], 3. Are variable names clear and descriptive? [PASS/FAIL], 4. Is there a docstring? [PASS/FAIL], 5. Is the time complexity optimal? [PASS/FAIL], 6. Are there any off-by-one errors? [PASS/FAIL]. For each [FAIL], explain the fix and show corrected code.",code + self-review,medium,"Replace the coding task. Keep the checklist format to review any AI-generated code."
P024,M3_Debugging_Refinement,study,Prompt Version Tracker,"I am trying to get AI to explain recursion clearly. Here are my 3 prompt versions. For each version, rate it on Clarity (1-5), Specificity (1-5), and Format Control (1-5). Show ratings in a table. Then declare which version is best and explain why in 2 sentences. Version 1: Explain recursion. Version 2: Explain recursion in Python with an example. Version 3: Goal: Explain recursion in Python. Context: I am a first-year student who understands loops but not recursion. Constraints: Use the factorial example. Show the call stack. Max 150 words. Format: Definition, then code, then call stack trace.",version comparison table,easy,"Replace the 3 versions with your own prompt iterations on any topic."
P025,M3_Debugging_Refinement,study,Reusable Study Prompt Template,"Build a reusable study prompt template that I can use for any topic. The template must include these [PLACEHOLDER] sections: 1. Goal: Explain [TOPIC] for [EXAM_TYPE] preparation. 2. Context: I am a [YEAR] student studying [SUBJECT]. I already know [PREREQUISITE]. 3. Constraints: Cover only [SCOPE]. Max [WORD_COUNT] words. Difficulty: [EASY/MEDIUM]. 4. Format: [FORMAT_TYPE]. After the template, show it filled in for two different examples: one for a data structures topic and one for a history topic, proving the template works across subjects.",template + 2 examples,easy,"Use this template as your go-to study prompt. Fill in placeholders each time you study a new topic."
P026,M3_Debugging_Refinement,coding,Fix Vague Code Prompt,"I wrote this prompt but the AI gave me code that does not work. Analyze it and fix it. Step 1: Quote my original prompt. Step 2: List every problem (at least 3 issues). Step 3: For each problem, explain why it leads to bad code output. Step 4: Rewrite the complete prompt with all issues fixed using GCCF. Step 5: Predict what the fixed prompt will produce (2-3 sentences). My failed prompt: ""Write code for a calculator app.""",analysis + fixed prompt,easy,"Replace with any coding prompt that gave you bad results."
P027,M3_Debugging_Refinement,study,Output Quality Scorer,"You are a strict prompt output evaluator. I will give you a prompt and the AI output it generated. Score the output on these 5 dimensions (1-5 each): Accuracy, Completeness, Format Match, Relevance, Usefulness. Show scores in a table. Calculate a total score out of 25. If total is below 15, label it [NEEDS REFINEMENT] and list the top 3 specific improvements. If 15-20, label it [ACCEPTABLE]. If above 20, label it [EXCELLENT]. Prompt: [PASTE YOUR PROMPT] Output: [PASTE THE AI OUTPUT]",scoring table + feedback,medium,"Paste any prompt-output pair to evaluate quality. Adjust scoring dimensions for your needs."
P028,M3_Debugging_Refinement,coding,Iterative Code Improvement,"Write a Python function that finds the second largest number in a list. Then improve it through 3 rounds: Version 1: Write the simplest working solution. Version 2: Improve it â€” handle edge cases (empty list, all same numbers, list with one element). Version 3: Optimize it â€” achieve O(n) time complexity with a single pass. For each version, show the code and write one sentence explaining what changed. After Version 3, confirm the final time and space complexity.",progressive code,medium,"Replace the coding task. Keep the 3-version improvement cycle to practice iterative refinement."
P029,M3_Debugging_Refinement,coding,Constraint Addition Drill,"Start with this bare prompt: ""Sort a list of numbers."" Improve it by adding one constraint at a time across 5 rounds. Round 1: Add a language constraint. Round 2: Add an input/output format constraint. Round 3: Add an edge case handling constraint. Round 4: Add a complexity constraint. Round 5: Add a testing constraint. For each round, show the updated prompt with the new constraint highlighted and explain in one sentence why this constraint improves the output. Show the final combined prompt at the end.",progressive prompt,medium,"Replace the starting prompt with any vague prompt. Practice adding constraints one at a time."
P030,M3_Debugging_Refinement,study,Template Variable Stress Test,"I built this study prompt template: ""Explain [TOPIC] in [FORMAT] for a [LEVEL] student in under [WORD_COUNT] words."" Test it with 4 edge-case inputs to see if the template breaks: Test 1: TOPIC=quantum entanglement, FORMAT=haiku, LEVEL=PhD, WORD_COUNT=20. Test 2: TOPIC=addition, FORMAT=essay, LEVEL=kindergarten, WORD_COUNT=500. Test 3: TOPIC=machine learning, FORMAT=table, LEVEL=intermediate, WORD_COUNT=100. Test 4: TOPIC=cooking rice, FORMAT=code, LEVEL=beginner, WORD_COUNT=75. For each test, fill in the template, generate output, and rate whether the template held up: [GOOD], [STRETCHED], or [BROKEN]. Summarize which template variables need guardrails.",template stress test,medium,"Replace with your own template. Create extreme test inputs to find its limits."
P031,M4_Truthfulness_Reliability,study,Don't Guess Mode,"You are now in DON'T GUESS mode. Rules: 1. If you are confident in your answer, give it normally. 2. If you are somewhat sure but not certain, prefix your answer with [UNCERTAIN] and explain what you are unsure about. 3. If you do not know the answer, say exactly: ""I do not have reliable information on this."" 4. Never make up facts, statistics, or citations. 5. Never use filler phrases to seem knowledgeable. Now answer: What is the exact time complexity of the Timsort algorithm used in Python's built-in sort, and who invented it?",honest answer,easy,"Replace the question. Use this prompt whenever you need factual accuracy and honest uncertainty signals."
P032,M4_Truthfulness_Reliability,research,Source Citation Enforcer,"Answer the following question. Rules: 1. After every factual claim, add a source tag in this format: [Source: type] where type is one of: Textbook, Official Documentation, Research Paper, Common Knowledge, or Uncertain. 2. If you cannot cite a source type for a claim, tag it [Source: Uncertain] and flag it. 3. At the end, list all [Source: Uncertain] claims in a separate section called Unverified Claims. 4. Do not make up specific paper titles, author names, or URLs. Question: How does garbage collection work in Java?",sourced explanation,medium,"Replace the question. Use this for any topic where you need to verify how much the AI really knows."
P033,M4_Truthfulness_Reliability,research,Text-Only Answering Mode,"I will paste a text below. Answer my question using ONLY the information in the provided text. Rules: 1. Do not use any outside knowledge. 2. If the answer is not in the text, say exactly: ""This information is not present in the provided text."" 3. Quote the relevant sentence from the text that supports your answer. 4. Do not paraphrase the text â€” use exact quotes. 5. Do not add interpretation or opinions. Question: [WRITE YOUR QUESTION HERE]. Text: [PASTE YOUR TEXT HERE]",quoted answer,easy,"Paste any article or textbook passage. Ask specific questions to test AI's ability to stick to the source."
P034,M4_Truthfulness_Reliability,study,Missing Information Flagger,"Answer the following question as completely as you can. After your answer, add a section called MISSING INFORMATION that lists: 1. What information you would need to give a more complete answer (at least 2 items). 2. What assumptions you made because the information was missing (at least 2 items). 3. How your answer might change if those assumptions are wrong (1 sentence per assumption). Question: Should I use React or Angular for my project?",answer + gap analysis,medium,"Replace the question. Great for any decision-making question where context matters."
P035,M4_Truthfulness_Reliability,research,Five-Point Anti-Hallucination Check,"Answer the following question. Then immediately run a 5-point Anti-Hallucination self-check on your own answer: Check 1 â€” Did I state any specific numbers or statistics? If yes, flag each one and rate confidence: High/Medium/Low. Check 2 â€” Did I mention any specific names, dates, or events? Verify each one. Check 3 â€” Did I make any cause-and-effect claims? Are they well-supported? Check 4 â€” Did I generalize from limited examples? Flag any overgeneralizations. Check 5 â€” Is anything in my answer something I am not confident about? Mark it clearly. Show results as a checklist with [CLEAN] or [FLAGGED] per check. Question: What are the main differences between Python 2 and Python 3?",answer + self-check,medium,"Replace the question. Use this whenever you need high-confidence factual output."
P036,M4_Truthfulness_Reliability,study,Confidence Level Labeling,"Answer each of the following 5 questions. After each answer, add a confidence tag: [Confidence: X/10]. If confidence is 7 or above, no further action needed. If confidence is 4-6, add: [Note: Verify this independently]. If confidence is 3 or below, add: [Warning: This may be inaccurate. Please check a reliable source]. Questions: 1. What year was Python first released? 2. What is the population of Hyderabad in 2024? 3. Who won the Turing Award in 2019? 4. What is the default port for PostgreSQL? 5. What is the market share of Linux on desktop computers?",labeled answers,easy,"Replace with your own questions. Mix easy and hard facts to see how the AI rates its own confidence."
P037,M4_Truthfulness_Reliability,research,Fact vs Opinion Separator,"Read the following text and separate every statement into one of two categories: FACTS (verifiable, objective claims) and OPINIONS (subjective, interpretive, or value-based claims). Format: ## Facts (numbered list with exact quotes from the text). ## Opinions (numbered list with exact quotes from the text). ## Mixed (any statement that blends fact and opinion â€” split it into its fact and opinion components). After listing all statements, give a ratio: X facts, Y opinions, Z mixed. Text: [PASTE YOUR TEXT HERE]",categorized analysis,easy,"Paste any article, editorial, or AI-generated text. Great for research and critical thinking."
P038,M4_Truthfulness_Reliability,research,Verify Then Answer,"Before answering my question, perform a pre-answer verification: Step 1 â€” Restate my question in your own words to confirm understanding. Step 2 â€” List 3 things you are confident you know about this topic. Step 3 â€” List 1-2 things you are unsure about or might get wrong. Step 4 â€” Now answer the question fully. Step 5 â€” After answering, flag any part of your answer where a textbook might disagree with you. Question: Explain the differences between processes and threads in operating systems.",verified answer,medium,"Replace the question. Use this structure for any topic where accuracy is critical."
P039,M4_Truthfulness_Reliability,study,Acknowledge Limitations Prompt,"Answer the following question honestly. At the end of your answer, include a section titled MY LIMITATIONS ON THIS TOPIC. In this section: 1. State what parts of this topic you are most reliable on. 2. State what parts might be outdated (mention your knowledge cutoff). 3. State what types of errors you are most likely to make on this topic. 4. Recommend one specific reliable source the student should cross-check against. Question: What are the latest features introduced in Java 21?",answer + limitations,medium,"Replace the question. Especially useful for questions about recent technologies, current events, or rapidly changing fields."
P040,M4_Truthfulness_Reliability,research,Grounded Claim Extraction,"I will paste a paragraph below. Extract every factual claim made in the paragraph. For each claim: 1. State the claim in one sentence. 2. Label it: [Verifiable] if it can be checked against a source, [Subjective] if it is an opinion, [Vague] if it is too imprecise to verify. 3. For [Verifiable] claims, rate your confidence that the claim is accurate: High / Medium / Low. At the end, count: Total claims, Verifiable, Subjective, Vague, High confidence, Medium confidence, Low confidence. Paragraph: [PASTE PARAGRAPH HERE]",claim table + summary,medium,"Paste any paragraph. Use this to audit the reliability of sources or AI-generated content."
P041,M5_Image_Prompting,image,Basic Subject-Style-Mood Prompt,"A golden retriever puppy sitting on a wooden porch in the countryside. The puppy is looking directly at the camera with a playful expression, tongue slightly out. Soft afternoon sunlight from the left side. Warm autumn color palette with orange and brown tones. Shallow depth of field, background slightly blurred showing fall trees. Photorealistic photography style. Shot with a 50mm portrait lens. No text or watermarks.",image,easy,"Replace the subject and setting. Adjust the color palette, lighting direction, and lens choice."
P042,M5_Image_Prompting,image,Camera Angle Controller,"A bustling Indian street food market at night. Shot from a dramatic low angle (ground level looking up), making the food stalls and hanging lights appear towering and grand. Wide-angle lens creating a slight perspective distortion. String lights and neon signs creating colorful bokeh in the background. Steam rising from a chaat stall in the foreground. Vibrant, saturated colors. Street photography style. High contrast between warm food stall lights and cool night sky.",image,medium,"Change the scene. Experiment with different angles: bird's eye, eye level, Dutch angle, over-the-shoulder."
P043,M5_Image_Prompting,image,Lighting and Mood Setter,"A single ceramic coffee cup on a windowsill. Dramatic side lighting: strong directional light from the right window casting long shadows to the left. Moody, contemplative atmosphere. Rain droplets on the window glass creating soft light patterns. Cool blue-gray color temperature with warm highlights only on the cup. Film noir inspired lighting. Minimal composition with lots of negative space. Fine art photography style. Matte finish look.",image,medium,"Change the subject and lighting type. Try: Rembrandt lighting, backlighting, golden hour, neon, candlelight."
P044,M5_Image_Prompting,image,Color Palette Enforcer,"A flat-lay desk setup for a content creator. Objects: laptop, notebook, pen, coffee cup, succulent plant, wireless earbuds. Strict color palette: dusty rose pink, cream white, sage green, and matte gold only. Every object must fit within this palette. Clean white marble surface. Shot from directly overhead. Even, shadowless lighting. Minimalist, aesthetic Instagram style. Square format. No clutter, intentional spacing between objects.",image,easy,"Change the objects and palette. Try monochrome, complementary, or analogous color schemes."
P045,M5_Image_Prompting,image,Detailed Environment Design,"Interior of a cozy Japanese-inspired study room. Elements: a low wooden desk with a laptop, a floor cushion, a shoji screen window with soft diffused light, a small bonsai tree, a wall shelf with neatly arranged books, a hanging paper lantern providing warm ambient light. Tatami mat flooring. Warm, peaceful atmosphere. Late afternoon light filtering through the screen. Detailed textures on wood and fabric. Photorealistic 3D render style with subtle film grain.",image,medium,"Change the room style: Scandinavian, industrial, bohemian, cyberpunk, etc. Adjust the time of day and elements."
P046,M5_Image_Prompting,image,Character Pose and Expression,"A young female street dancer mid-movement on an empty basketball court at sunset. Dynamic pose: one foot on the ground, the other kicked back, arms extended with fingers spread. Confident, joyful expression. Wearing baggy cargo pants, a cropped hoodie, and high-top sneakers. Motion blur on the extremities to show movement, sharp focus on the face. Golden hour backlighting creating a rim light effect around her silhouette. Urban street photography style.",image,medium,"Change the character, pose, and setting. Adjust clothing, expression, and time of day."
P047,M5_Image_Prompting,image,Texture and Material Detail,"Close-up macro shot of a handcrafted leather journal on a rough oak table. Extreme detail on textures: visible grain of the leather, stitching thread texture, embossed pattern on the cover, wood grain of the table surface. A fountain pen with a metallic nib resting on top, showing ink residue. Shallow depth of field focused on the journal cover. Soft natural light from above. Warm, earthy tones. Product photography with macro lens detail.",image,easy,"Change the objects. Focus on describing textures: smooth, rough, glossy, matte, woven, brushed metal, etc."
P048,M5_Image_Prompting,image,Rule of Thirds Composition,"A lone fisherman standing on rocks at the edge of the sea during sunrise. The fisherman is positioned at the right-third intersection point of the frame, facing left. The horizon line sits on the lower third. The sky occupies the upper two-thirds showing dramatic orange and purple clouds. Leading lines created by the rocky shoreline guide the eye from bottom-left to the fisherman. Wide-angle landscape shot. Deep depth of field. Cinematic color grading. Golden hour natural lighting.",image,medium,"Change the scene. Practice placing the subject at different third-line intersections. Try leading lines and symmetry."
P049,M5_Image_Prompting,image,Art Style Reference,"Portrait of a young Indian woman reading a book in a garden, rendered in the style of Studio Ghibli anime. Soft pastel colors with gentle green and warm yellow tones. Whimsical, dreamy atmosphere with tiny floating flower petals. Detailed hair and clothing with the characteristic Ghibli softness. Dappled sunlight through tree leaves creating light spots. Slightly oversaturated greens. Clean line work with watercolor-like shading. 16:9 aspect ratio.",image,easy,"Change the art style: Pixar, Moebius, Art Nouveau, Ukiyo-e, Bauhaus, comic book, watercolor, oil painting."
P050,M5_Image_Prompting,image,Negative Constraint Prompt,"A clean, professional team photo of 4 diverse college students standing in a modern library. They are smiling naturally, dressed in smart casual clothing. Bright, even lighting. Crisp focus on all four faces. Neutral background with bookshelves softly blurred. Constraints on what to AVOID: No artificial-looking smiles. No awkward hand poses. No overly saturated colors. No lens distortion on faces. No busy or distracting background. No harsh shadows under the eyes. Corporate photography style, warm and approachable.",image,easy,"Change the scene. Add negative constraints to remove common AI image generation artifacts you have noticed."
P051,M6_Video_Scripts,video,30-Second Hook Script,"Write a 30-second Instagram Reel script about why most students fail at time management. Structure: Hook (3 sec â€” a bold, controversial opening statement that stops the scroll), Problem (8 sec â€” describe the mistake most students make), Solution (12 sec â€” give one specific, actionable technique), Proof (5 sec â€” one quick result or stat), CTA (2 sec â€” follow for more). For each section, write: [TIME], exact voiceover text, [TEXT ON SCREEN], [VISUAL DESCRIPTION]. Keep sentences punchy â€” max 8 words each.",short-form script,easy,"Replace the topic. Keep the 5-section structure for any 30-second educational content."
P052,M6_Video_Scripts,content,Educational Explainer Outline,"Create a detailed outline for a 2-minute animated explainer video on how blockchain works. Structure: Hook question (5 sec), Analogy setup â€” compare to a shared Google Doc (15 sec), Core concept explained in 4 simple steps (60 sec, 15 sec each), Real-world use case â€” one non-crypto example (15 sec), Common misconception debunked (10 sec), One-line takeaway (5 sec), Subscribe CTA (10 sec). For each section, provide: voiceover script, [ANIMATION NOTES] describing what the viewer sees, [TEXT ON SCREEN] for key terms.",explainer outline,medium,"Replace blockchain with any concept. Adjust timing per section. Works for any animated explainer."
P053,M6_Video_Scripts,video,Shot-by-Shot Storyboard,"Create a shot-by-shot storyboard for a 60-second promotional video for a college coding club. For each shot provide: Shot number, Duration (in seconds), Shot type (wide/medium/close-up/aerial), Camera movement (static/pan/tilt/dolly/handheld), Subject description, Action happening, Dialogue or voiceover text, Music mood. Plan exactly 8 shots that tell a story arc: intrigue, community, learning, achievement. Total must add up to 60 seconds.",storyboard table,medium,"Change the subject of the promo. Adjust number of shots and total duration."
P054,M6_Video_Scripts,video,B-Roll Suggestion List,"I am making a YouTube video about the benefits of journaling for students. Generate a B-roll shot list organized by video section. For each section of the video (Intro, Benefit 1: Clarity, Benefit 2: Stress Relief, Benefit 3: Memory, Conclusion), suggest 3 specific B-roll shots. For each shot, describe: what to film, shot type (close-up/medium/wide), duration (2-5 sec), and whether it can be filmed with a phone or needs special equipment. Total: 15 B-roll shots.",B-roll shot list,easy,"Replace the video topic. Adjust sections and number of B-roll shots per section."
P055,M6_Video_Scripts,content,Caption and Overlay Planner,"I have a 60-second motivational video for engineering students during exam season. Generate all the text elements needed. Provide: 1. Captions â€” full subtitle text synced to 4 segments (0-15s, 15-30s, 30-45s, 45-60s). 2. On-screen text â€” 3 key phrases that appear as bold animated text overlays with exact timing. 3. Lower third â€” what text appears at the bottom (name, title, social handle) and when. 4. End screen text â€” what to display in the last 5 seconds. Format each element with [TIMESTAMP] and exact text.",caption + overlay plan,easy,"Change the video topic and duration. Adjust the number of text overlay elements."
P056,M6_Video_Scripts,video,60-Second Product Demo Script,"Write a 60-second product demo video script for a student-built task management mobile app called FocusMate. Structure: Problem hook â€” show the chaos of managing deadlines (8 sec), App intro â€” name and one-line value proposition (5 sec), Feature 1 â€” Smart task prioritization (12 sec), Feature 2 â€” Pomodoro timer integration (12 sec), Feature 3 â€” Weekly progress dashboard (12 sec), Social proof â€” user quote (5 sec), Download CTA (6 sec). For each section: voiceover text, [SCREEN RECORDING] description, [TRANSITION] type.",product demo script,medium,"Replace the app. Adjust features and demo structure for your own product showcase."
